,company_name,specific_bean_origin,ref,review_date,cocoa_percentage,company_location,rating,broad_bean_origin,cluster,mode_cluster
49,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,0.75,France,3.0,Mexico,2,2
50,Bonnat,"Xoconusco, cacao Real",395,2009,0.75,France,3.0,Mexico,2,2
51,Bonnat,"Porcelana, Venezuela",199,2008,0.75,France,4.0,Venezuela,2,2
52,Bonnat,Equateur,123,2007,0.75,France,2.5,Ecuador,1,2
53,Bonnat,Trinite,24,2006,0.75,France,3.75,Carribean,2,2
54,Bonnat,"Ocumare, Puerto Cabello",32,2006,0.75,France,4.0,Venezuela,2,2
55,Bonnat,"Maracaibo, El Rosario",48,2006,0.75,France,4.0,Venezuela,2,2
56,Bonnat,Madagascar,75,2006,0.75,France,4.0,Madagascar,2,2
57,Bonnat,One Hundred,81,2006,1.0,France,1.5,,1,2
58,Bonnat,Ceylan,81,2006,0.75,France,3.0,Sri Lanka,2,2
59,Bonnat,Chuao,81,2006,0.75,France,4.0,Venezuela,2,2
60,Cacao Barry,Grand 'Anse,1716,2016,0.65,France,3.5,Haiti,0,2
61,Cacao Barry,Santo Domingo,586,2010,0.7,France,3.0,Dominican Republic,2,2
62,Cacao Barry,Tanzania,300,2008,0.75,France,2.0,Tanzania,1,2
63,Cacao Barry,Venezuela,141,2007,0.72,France,2.0,Venezuela,1,2
64,Cacao Barry,Mexico,147,2007,0.66,France,3.0,Mexico,2,2
65,Cemoi,Equateur,404,2009,0.72,France,2.75,Ecuador,2,2
66,Chloe Chocolat,Blend No. 1,672,2011,0.7,France,3.5,,2,2
67,Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,0.64,France,3.0,Papua New Guinea,2,2
68,Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,0.66,France,3.75,Venezuela,2,2
69,Durand,Madagascar,841,2012,0.82,France,2.75,Madagascar,1,2
70,Erithaj (A. Morin),Ben Tre,1205,2014,0.7,France,3.25,Vietnam,0,2
71,Erithaj (A. Morin),Ham Luong,1209,2014,0.8,France,3.0,Vietnam,1,2
72,Erithaj (A. Morin),Ba Lai,1209,2014,0.74,France,3.25,Vietnam,0,2
73,Kaoka (Cemoi),Noir,404,2009,0.7,France,2.75,,2,2
74,Kaoka (Cemoi),Ecuador,423,2009,0.8,France,2.75,Ecuador,1,2
75,La Maison du Chocolat (Valrhona),"Cuana, 2013",1121,2013,0.74,France,2.75,"Africa, Carribean, C. Am.",1,2
76,La Maison du Chocolat (Valrhona),Tobago,1145,2013,0.6,France,3.25,Tobago,2,2
77,La Maison du Chocolat (Valrhona),"Acarigua, w/ nibs",1189,2013,0.56,France,3.25,Ecuador,2,2
78,La Maison du Chocolat (Valrhona),Loma Sotavento,891,2012,0.66,France,3.5,Dominican Republic,0,2
79,La Maison du Chocolat (Valrhona),Grenada,741,2011,0.68,France,3.5,Grenada,2,2
80,La Maison du Chocolat (Valrhona),Akosombo,346,2009,0.68,France,3.25,Ghana,2,2
81,La Maison du Chocolat (Valrhona),"Porcelana, Pariguan",346,2009,0.69,France,3.5,Venezuela,2,2
82,La Maison du Chocolat (Valrhona),Kuruba,439,2009,0.6,France,3.0,,2,2
83,La Maison du Chocolat (Valrhona),Orinoco,445,2009,0.6,France,3.75,,2,2
84,La Maison du Chocolat (Valrhona),"Cuana, 2008",230,2008,0.74,France,3.5,"Ven., Indonesia, Ecuad.",2,2
85,Laia aka Chat-Noir,"Madagascar, Batch 59/100",1590,2015,0.75,France,2.75,Madagascar,1,2
86,Laia aka Chat-Noir,"Vietnam, Batch 50/100",1590,2015,0.75,France,2.75,Vietnam,1,2
87,Laia aka Chat-Noir,"Cuba, Batch 59/100",1590,2015,0.75,France,3.0,Cuba,0,2
88,Laia aka Chat-Noir,"Peru, Batch 51/100",1590,2015,0.75,France,3.25,Peru,0,2
89,Laia aka Chat-Noir,"Ivory Coast, Batch 56/100",1594,2015,0.75,France,3.0,Ivory Coast,0,2
90,Laia aka Chat-Noir,"Sao Tome, Batch 151",1638,2015,0.75,France,3.5,Sao Tome,0,2
91,Laia aka Chat-Noir,"Bahia, Batch 148",1642,2015,0.75,France,3.25,Brazil,0,2
92,Laia aka Chat-Noir,"Lam Dong, Batch 153",1642,2015,0.75,France,3.75,Vietnam,0,2
93,Laia aka Chat-Noir,Cuba,1434,2014,0.7,France,2.75,Cuba,0,2
94,Laia aka Chat-Noir,Trinidad-Tobago,1438,2014,0.68,France,2.75,Trinidad-Tobago,0,2
95,Michel Cluizel,"Chiapas, Mokaya P.",963,2012,0.66,France,3.75,Mexico,0,2
96,Michel Cluizel,"Carenero Superior, Concepcion",117,2007,0.66,France,3.5,Venezuela,2,2
97,Michel Cluizel,Vila Gracinda,135,2007,0.67,France,3.5,Sao Tome,2,2
98,Michel Cluizel,Carre Amer,24,2006,0.6,France,2.0,,2,2
99,Michel Cluizel,Carre Grand Noir,24,2006,0.85,France,2.0,,1,2
100,Michel Cluizel,Tamarina,24,2006,0.7,France,3.0,Sao Tome,2,2
101,Michel Cluizel,Los Ancones P.,24,2006,0.67,France,4.0,Dominican Republic,2,2
102,Michel Cluizel,Mangaro P.,24,2006,0.65,France,4.0,Madagascar,2,2
103,Michel Cluizel,Maralumi P.,24,2006,0.64,France,4.0,Papua New Guinea,2,2
104,Michel Cluizel,Noir Infini,81,2006,0.99,France,2.0,,1,2
105,Pralus,Peru,1446,2015,0.75,France,3.25,Peru,0,2
106,Pralus,"Porcelana, S. of Lake Maracaibo",717,2011,0.75,France,3.25,Venezuela,0,2
107,Pralus,Chuao,486,2010,0.75,France,3.5,Venezuela,2,2
108,Pralus,Cuyagua,451,2009,0.75,France,2.0,Venezuela,1,2
109,Pralus,Papouasie,199,2008,0.75,France,3.0,Papua New Guinea,2,2
110,Pralus,"Sambirano Valley, Le 100%",202,2008,1.0,France,3.0,Madagascar,1,2
111,Pralus,Dominican Republic-Organic,280,2008,0.75,France,2.0,Dominican Republic,1,2
112,Pralus,"Monte Alegre, Diego Badero",280,2008,0.75,France,3.5,Brazil,2,2
113,Pralus,Claudio Corallo w/ nibs,162,2007,0.75,France,4.0,Sao Tome,2,2
114,Pralus,"Monte Alegre (Itacare), Brazil",105,2006,0.75,France,3.0,Brazil,2,2
115,Pralus,Tanzania,105,2006,0.75,France,3.5,Tanzania,2,2
116,Pralus,Sao Tome & Principe,5,2006,0.75,France,3.5,Sao Tome & Principe,2,2
117,Pralus,Trinidad,5,2006,0.75,France,3.5,Trinidad,2,2
118,Pralus,"Madagascar, Nosy Be Isle.",5,2006,0.75,France,3.75,Madagascar,2,2
119,Pralus,"Java, Indonesie",32,2006,0.75,France,3.5,Indonesia,2,2
120,Pralus,"Barlovento, Venezuela",32,2006,0.75,France,3.5,Venezuela,2,2
121,Pralus,Jamaique,32,2006,0.75,France,4.0,Jamaica,2,2
122,Pralus,Equateur,40,2006,0.75,France,3.0,Ecuador,2,2
123,Pralus,Vanuatu,40,2006,0.75,France,3.0,Vanuatu,2,2
124,Pralus,Ghana,40,2006,0.75,France,3.25,Ghana,2,2
125,Pralus,Colombie,40,2006,0.75,France,3.5,Colombia,2,2
126,Pralus,Fortissima,93,2006,0.8,France,4.0,Ecuador,2,2
127,Pralus,Cuba,99,2006,0.75,France,3.0,Cuba,2,2
128,Pralus,"Caracas, Venezuela and Ghana",99,2006,0.75,France,3.0,"Venezuela, Ghana",2,2
129,Pralus,"Djakarta, Java and Ghana",99,2006,0.75,France,3.5,"Indonesia, Ghana",2,2
130,Raoul Boulanger,Piura,1872,2016,0.75,France,3.25,Peru,0,2
131,Santome,Sao Tome,761,2011,0.7,France,2.75,Sao Tome,2,2
132,Tobago Estate (Pralus),"Roxborough, Tobago",895,2012,0.7,France,4.0,Tobago,0,2
133,Un Dimanche A Paris,Dominican Republic,709,2011,0.63,France,3.75,Dominican Republic,2,2
134,Valrhona,"Piura, Illanka, Quemazon",1510,2015,0.63,France,4.0,Peru,0,2
135,Valrhona,"Andoa, Grand Cru blend",1145,2013,0.7,France,3.5,,0,2
136,Valrhona,"Loma Sotavento, 2013",1153,2013,0.64,France,3.5,Dominican Republic,0,2
137,Valrhona,"Otucan, Grand Cru",931,2012,0.69,France,4.0,Venezuela,0,2
138,Valrhona,Caraque,709,2011,0.56,France,3.25,,2,2
139,Valrhona,"Porcelana, Pedegral",757,2011,0.64,France,4.0,Venezuela,0,2
140,Valrhona,Tainori,327,2009,0.64,France,3.75,Dominican Republic,2,2
141,Valrhona,Alpaco,370,2009,0.66,France,3.75,Ecuador,2,2
142,Valrhona,Nyangbo,395,2009,0.68,France,3.5,Ghana,2,2
143,Valrhona,Araguani,117,2007,0.72,France,3.0,"Venezuela, Carribean",2,2
144,Valrhona,Chuao 2002 P.,129,2007,0.65,France,3.75,Venezuela,2,2
145,Valrhona,Manjari,129,2007,0.64,France,4.0,Madagascar,2,2
146,Valrhona,Le Noir Extra Amer,147,2007,0.85,France,1.5,,1,2
147,Valrhona,Abinao,153,2007,0.85,France,2.5,West Africa,1,2
148,Valrhona,Le Noir Amer,157,2007,0.71,France,2.75,West Africa,2,2
149,Valrhona,"Porcelana, Maracaibo, Palmira P. 2006",162,2007,0.64,France,3.25,Venezuela,2,2
150,Valrhona,Caraibe,63,2006,0.66,France,3.0,Carribean,2,2
151,Valrhona,Guanaja,63,2006,0.7,France,4.0,South America,2,2
152,Valrhona,Gran Couva 2005 P.,75,2006,0.64,France,2.5,Trinidad,2,2
153,Valrhona,"Porcelana, Maracaibo, Palmira P. 2005",75,2006,0.64,France,3.0,Venezuela,2,2
154,Valrhona,"Sambirano, Ampamakia 2005, Millot P.",75,2006,0.64,France,3.5,Madagascar,2,2
155,Vietcacao (A. Morin),"Ben Tre, Mekong Delta, MoCay",951,2012,0.7,France,3.5,Vietnam,0,2
156,Acalli,"Chulucanas, El Platanal",1462,2015,0.7,United States,3.75,Peru,0,0
157,Acalli,"Tumbes, Norandino",1470,2015,0.7,United States,3.75,Peru,0,0
158,Altus aka Cao Artisan,Momotombo,1728,2016,0.6,United States,2.75,Nicaragua,0,0
159,Altus aka Cao Artisan,Acopagro,1728,2016,0.6,United States,3.0,Peru,0,0
160,Altus aka Cao Artisan,CIAAB Coop,1732,2016,0.6,United States,2.5,Bolivia,0,0
161,Altus aka Cao Artisan,Villa Andina,1732,2016,0.6,United States,2.5,Peru,0,0
162,Altus aka Cao Artisan,Gruppo Salinas,1732,2016,0.6,United States,2.75,Ecuador,0,0
163,Altus aka Cao Artisan,Sur del Lago,1125,2013,0.6,United States,2.5,Venezuela,2,0
164,Altus aka Cao Artisan,Conacado,1125,2013,0.6,United States,3.0,Dominican Republic,2,0
165,Altus aka Cao Artisan,Bolivia,1129,2013,0.8,United States,3.25,Bolivia,1,0
166,Altus aka Cao Artisan,Bolivia,1133,2013,0.6,United States,3.0,Bolivia,2,0
167,Altus aka Cao Artisan,Peru,1133,2013,0.6,United States,3.25,Peru,2,0
168,Amano,Morobe,725,2011,0.7,United States,4.0,Papua New Guinea,0,0
169,Amano,Dos Rios,470,2010,0.7,United States,3.75,Dominican Republic,2,0
170,Amano,Guayas,470,2010,0.7,United States,4.0,Ecuador,2,0
171,Amano,Chuao,544,2010,0.7,United States,3.0,Venezuela,2,0
172,Amano,Montanya,363,2009,0.7,United States,3.0,Venezuela,2,0
173,Amano,"Bali, Jembrana",304,2008,0.7,United States,2.75,Indonesia,2,0
174,Amano,Madagascar,129,2007,0.7,United States,3.5,Madagascar,2,0
175,Amano,Cuyagua,147,2007,0.7,United States,3.0,Venezuela,2,0
176,Amano,Ocumare,175,2007,0.7,United States,3.75,Venezuela,2,0
177,Anahata,Elvesia,1259,2014,0.75,United States,3.0,Dominican Republic,1,0
178,Animas,Alto Beni,1852,2016,0.75,United States,3.5,Bolivia,0,0
179,Arete,San Juan,1724,2016,0.7,United States,3.5,Trinidad,0,0
180,Arete,Kokoa Kamili,1724,2016,0.7,United States,3.75,Tanzania,0,0
181,Arete,Tien Giang,1900,2016,0.73,United States,3.5,Vietnam,0,0
182,Arete,Hacienda Victoria,1904,2016,0.7,United States,3.25,Ecuador,0,0
183,Arete,Costa Esmeraldas,1904,2016,0.7,United States,3.25,Ecuador,0,0
184,Arete,Lachua,1904,2016,0.7,United States,3.5,Guatemala,0,0
185,Arete,Rugoso,1904,2016,0.7,United States,3.75,Nicaragua,0,0
186,Arete,"La Masica, FHIA",1908,2016,0.7,United States,3.5,Honduras,0,0
187,Arete,"Coto Brus, Terciopelo",1908,2016,0.7,United States,4.0,Costa Rica,0,0
188,Arete,Phantom,1924,2016,0.7,United States,4.0,Peru,0,0
189,Arete,Elvesia,1928,2016,0.7,United States,3.75,Dominican Republic,0,0
190,Arete,Matasawalevu,1928,2016,0.7,United States,3.25,Fiji,0,0
191,Arete,Lam Dong,1928,2016,0.73,United States,3.25,Vietnam,0,0
192,Arete,Fazenda Camboa,1534,2015,0.7,United States,3.5,Brazil,0,0
193,Arete,Nacional,1534,2015,0.68,United States,3.5,Peru,0,0
194,Arete,"Puerto Quito, heirloom",1534,2015,0.7,United States,3.75,Ecuador,0,0
195,Arete,Oko Caribe,1598,2015,0.7,United States,3.5,Domincan Republic,0,0
196,Arete,Maya Mountain,1598,2015,0.7,United States,3.75,Belize,0,0
197,Arete,Chuno,1598,2015,0.7,United States,4.0,Nicaragua,0,0
198,Arete,Fazenda Camboa,1602,2015,0.75,United States,2.75,Brazil,1,0
199,Arete,Guatemala,1602,2015,0.7,United States,3.25,Guatemala,0,0
200,Arete,Camino Verde,1602,2015,0.75,United States,3.5,Ecuador,0,0
201,Askinosie,Mababa,1780,2016,0.68,United States,3.75,Tanzania,0,0
202,Askinosie,"Tenende, Uwate",647,2011,0.72,United States,3.75,Tanzania,0,0
203,Askinosie,Cortes,661,2011,0.7,United States,3.75,Honduras,0,0
204,Askinosie,Davao,331,2009,0.77,United States,3.75,Philippines,2,0
205,Askinosie,Xoconusco,141,2007,0.75,United States,2.5,Mexico,1,0
206,Askinosie,San Jose del Tambo,175,2007,0.7,United States,3.0,Ecuador,2,0
207,Bar Au Chocolat,Bahia,1554,2015,0.7,United States,3.5,Brazil,0,0
208,Bar Au Chocolat,Maranon Canyon,1295,2014,0.7,United States,4.0,Peru,0,0
209,Bar Au Chocolat,Duarte Province,983,2012,0.7,United States,3.25,Dominican Republic,0,0
210,Bar Au Chocolat,Chiapas,983,2012,0.7,United States,3.5,Mexico,0,0
211,Bar Au Chocolat,Sambirano,983,2012,0.7,United States,3.75,Madagascar,0,0
212,Batch,"Dominican Republic, Batch 3",1840,2016,0.65,United States,3.5,Domincan Republic,0,0
213,Batch,Brazil,1868,2016,0.7,United States,3.75,Brazil,0,0
214,Batch,Ecuador,1880,2016,0.65,United States,3.25,Ecuador,0,0
215,Beehive,"Brazil, Batch 20316",1784,2016,0.8,United States,2.75,Brazil,1,0
216,Beehive,"Dominican Republic, Batch 31616",1784,2016,0.7,United States,2.75,Domincan Republic,0,0
217,Beehive,"Ecuador, Batch 31516",1784,2016,0.7,United States,2.75,Ecuador,0,0
218,Beehive,Ecuador,1788,2016,0.9,United States,2.75,Ecuador,1,0
219,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,0.7,United States,3.5,Tanzania,0,0
220,Bellflower,"Alto Beni, Palos Blanco",1804,2016,0.7,United States,3.25,Bolivia,0,0
221,Bellflower,"Oko Caribe, Duarte P.",1864,2016,0.7,United States,3.5,Domincan Republic,0,0
222,Bisou,"Nicaragua, American style",1482,2015,0.76,United States,2.5,Nicaragua,1,0
223,Bisou,"San Andres, American style",1486,2015,0.76,United States,2.5,Costa Rica,1,0
224,Bisou,"San Andres, silk",1486,2015,0.78,United States,2.5,Costa Rica,1,0
225,Bisou,Belize,1486,2015,0.86,United States,3.25,Belize,1,0
226,Bittersweet Origins,Ghana,963,2012,0.72,United States,3.5,Ghana,0,0
227,Bittersweet Origins,"Bali, Singaraja",478,2010,0.75,United States,3.25,Indonesia,2,0
228,Bittersweet Origins,2009 Hapa Nibby,502,2010,0.7,United States,3.75,"Dominican Rep., Bali",2,0
229,Bittersweet Origins,"Bali, Singaraja",558,2010,0.65,United States,2.75,Indonesia,2,0
230,Bittersweet Origins,"Sambirano, 2009",565,2010,0.7,United States,3.0,Madagascar,2,0
231,Bittersweet Origins,"Ocumare, prototype",565,2010,0.78,United States,3.0,Venezuela,1,0
232,Bittersweet Origins,Puerto Plata,414,2009,0.75,United States,3.0,Dominican Republic,2,0
233,Bittersweet Origins,Puerto Plata,414,2009,0.65,United States,3.5,Dominican Republic,2,0
234,Bittersweet Origins,Sambirano,423,2009,0.75,United States,3.25,Madagascar,2,0
235,Bittersweet Origins,Sambirano,431,2009,0.65,United States,3.5,Madagascar,2,0
236,Bittersweet Origins,Sambirano,233,2008,0.71,United States,3.0,Madagascar,2,0
237,Bittersweet Origins,Bocas del Toro,233,2008,0.75,United States,3.5,Panama,2,0
238,Bittersweet Origins,Puerto Plata,233,2008,0.68,United States,3.75,Dominican Republic,2,0
239,Bittersweet Origins,Ankasa,256,2008,0.7,United States,3.0,Ghana,2,0
240,Black Mountain,La Red,256,2008,0.7,United States,2.75,Dominican Republic,2,0
241,Black Mountain,Carenero Superior,256,2008,0.7,United States,2.75,Venezuela,2,0
242,Black Mountain,Matiguas,256,2008,0.7,United States,3.0,Nicaragua,2,0
243,Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,0.82,United States,3.5,Madagascar,0,0
244,Blue Bandana,Lachua,1752,2016,0.75,United States,2.75,Guatemala,1,0
245,Blue Bandana,Kokoa Kamili,1752,2016,0.75,United States,3.5,Tanzania,0,0
246,Blue Bandana,Zorzal Reserva,1756,2016,0.75,United States,3.0,Dominican Republic,0,0
247,Blue Bandana,Guatemala,911,2012,0.7,United States,3.5,Guatemala,0,0
248,Blue Bandana,Madagascar,911,2012,0.7,United States,3.75,Madagascar,0,0
249,Bowler Man,Maya Mountain,1267,2014,0.7,United States,2.75,Belize,0,0
250,Bowler Man,Conacado,1271,2014,0.7,United States,2.75,Dominican Republic,0,0
251,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,0.7,United States,3.5,Venezuela,0,0
252,Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,0.7,United States,3.75,Nicaragua,0,0
253,Brasstown aka It's Chocolate,Conacado,1462,2015,0.68,United States,3.75,Dominican Republic,0,0
254,Brasstown aka It's Chocolate,Maya Mountain,1255,2014,0.7,United States,3.75,Belize,0,0
255,Brasstown aka It's Chocolate,Chuao,1355,2014,0.7,United States,4.0,Venezuela,0,0
256,Brasstown aka It's Chocolate,Cooproagro,1125,2013,0.72,United States,3.0,Dominican Republic,0,0
257,Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,0.7,United States,3.25,Ecuador,0,0
258,Brasstown aka It's Chocolate,Ghana,1129,2013,0.75,United States,3.5,Ghana,0,0
259,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,0.85,United States,3.5,Venezuela,1,0
260,Brazen,Elvesia P.,1514,2015,0.6,United States,3.0,Dominican Republic,0,0
261,Brazen,Elvesia P.,1514,2015,0.8,United States,3.25,Dominican Republic,1,0
262,Brazen,"Alta Verapaz, 2014",1514,2015,0.7,United States,3.5,Guatemala,0,0
263,Brazen,Ambolikapiky P.,1518,2015,0.8,United States,2.75,Madagascar,1,0
264,Brazen,Maya Mountain,1518,2015,0.8,United States,3.25,Belize,1,0
265,Brazen,Ambolikapkly P.,1518,2015,0.6,United States,3.25,Madagascar,0,0
266,Breeze Mill,Jamaica,1149,2013,0.7,United States,3.0,Jamaica,0,0
267,Bronx Grrl Chocolate,Dominican Republic,1181,2013,0.68,United States,2.75,Dominican Republic,2,0
268,Burnt Fork Bend,Trinidad,1299,2014,0.72,United States,3.25,Trinidad,0,0
269,Burnt Fork Bend,Mindo,1299,2014,0.72,United States,3.5,Ecuador,0,0
270,Burnt Fork Bend,Belize,1303,2014,0.72,United States,3.25,Belize,0,0
271,Burnt Fork Bend,Blend,1303,2014,0.72,United States,3.25,,0,0
272,Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,0.6,United States,2.5,Ecuador,2,0
273,Cacao Atlanta,Tumbes,1215,2014,0.75,United States,2.5,Peru,1,0
274,Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,0.75,United States,2.5,Dominican Republic,1,0
275,Cacao Atlanta,Dominican Republic w/ nibs,502,2010,0.75,United States,2.75,Dominican Republic,1,0
276,Cacao Atlanta,Patanemo,600,2010,0.75,United States,2.25,Venezuela,1,0
277,Cacao Market,"Jutiapa, lot 050916D",1860,2016,0.7,United States,3.5,Honduras,0,0
278,Cacao Prieto,"Criollo, Dominican Republic",991,2012,0.72,United States,3.75,Dominican Republic,0,0
279,Cacao Prieto,"Dominican Republicm, rustic",641,2011,0.72,United States,3.0,Dominican Republic,2,0
280,Cacao Prieto,Dominican Republic,641,2011,0.66,United States,3.75,Dominican Republic,2,0
281,Cacao Prieto,"Dominican Republic, rustic",647,2011,0.65,United States,3.25,Dominican Republic,2,0
282,Cao,Porcelana,1804,2016,0.75,United States,2.5,Venezuela,1,0
283,Cao,Tanzania,1804,2016,0.73,United States,2.75,Tanzania,1,0
284,Cao,"Porcelana, Batch 5163",1804,2016,0.7,United States,3.0,Venezuela,0,0
285,Cao,Bolivia,1808,2016,0.75,United States,3.0,Bolivia,0,0
286,Cao,Brazil,1808,2016,0.7,United States,3.25,Brazil,0,0
287,Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,0.72,United States,4.0,Belize,0,0
288,Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,0.72,United States,3.5,Honduras,0,0
289,Castronovo,"Duarte, Batch 360",1570,2015,0.7,United States,3.75,Domincan Republic,0,0
290,Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,0.72,United States,3.5,Venezuela,0,0
291,Castronovo,Sierra Nevada,1347,2014,0.72,United States,3.5,Colombia,0,0
292,Castronovo,Arauca,1371,2014,0.76,United States,3.5,Colombia,0,0
293,Castronovo,Elvesia P.,1407,2014,0.7,United States,2.75,Dominican Republic,0,0
294,Castronovo,Bolivia,1101,2013,0.7,United States,3.0,Bolivia,0,0
295,Castronovo,Conacado,1101,2013,0.73,United States,3.5,Dominican Republic,0,0
296,Castronovo,San Martin,1105,2013,0.7,United States,2.5,Peru,1,0
297,Castronovo,"Guaniamo, Amazonas",1105,2013,0.7,United States,3.25,Venezuela,0,0
298,Castronovo,Nicaragua,1109,2013,0.72,United States,3.25,Nicaragua,0,0
299,Castronovo,Tumbes,1153,2013,0.7,United States,2.75,Peru,1,0
300,Castronovo,Guaniamo,1153,2013,0.72,United States,3.0,Venezuela,0,0
301,Cello,Ecuador,1247,2014,0.7,United States,2.5,Ecuador,1,0
302,Cello,Peru,1247,2014,0.7,United States,2.75,Peru,0,0
303,Cello,Venezuela,1251,2014,0.7,United States,2.75,Venezuela,0,0
304,Cello,Bolivia,1251,2014,0.7,United States,3.0,Bolivia,0,0
305,Charm School,Maya Mtn,1900,2016,0.7,United States,3.25,Belize,0,0
306,Chequessett,la Amistad,1235,2014,0.7,United States,3.5,Costa Rica,0,0
307,Chocola'te,Madagascar,647,2011,0.7,United States,3.75,Madagascar,0,0
308,Chocola'te,Venezuela,647,2011,0.68,United States,3.75,Venezuela,0,0
309,Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,0.9,United States,2.5,Peru,1,0
310,Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,2016,0.8,United States,2.5,,1,0
311,Chocolate Con Amor,Wild Bolivian,1760,2016,0.7,United States,2.5,Bolivia,1,0
